Distrito,Concelho,Freguesia,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Braga,Vieira do Minho,Pinheiro,PPD/PSD,"42,74%",100,PS,"39,74%",93,CH,"4,70%",11,B.E.,"2,56%",6,IL,"2,14%",5,PAN,"1,71%",4,PCP-PEV,"1,71%",4,CDS-PP,"0,85%",2,JPP,"0,85%",2,PTP,"0,43%",1,A,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,14%",5,NULOS,"0,43%",1,,,,,,,,,
Braga,Vieira do Minho,Rossas,PPD/PSD,"45,10%",368,PS,"40,93%",334,CH,"6,13%",50,IL,"1,59%",13,B.E.,"1,10%",9,CDS-PP,"1,10%",9,PCP-PEV,"1,10%",9,PAN,"0,98%",8,L,"0,74%",6,R.I.R.,"0,61%",5,A,"0,12%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,12%",1,NULOS,"0,37%",3,,,,,,,,,
Braga,Vieira do Minho,Ruivães e Campos,PS,"47,11%",228,PPD/PSD,"40,50%",196,CH,"3,93%",19,CDS-PP,"1,45%",7,IL,"1,24%",6,PCP-PEV,"1,03%",5,B.E.,"0,83%",4,L,"0,62%",3,MAS,"0,41%",2,PAN,"0,21%",1,PTP,"0,21%",1,VP,"0,21%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,83%",4,NULOS,"1,45%",7,,,,,,,,,
Braga,Vieira do Minho,Salamonde,PS,"58,02%",123,PPD/PSD,"28,77%",61,CH,"5,19%",11,B.E.,"2,36%",5,PCP-PEV,"1,89%",4,PAN,"1,42%",3,A,"0,47%",1,E,"0,47%",1,IL,"0,47%",1,L,"0,47%",1,CDS-PP,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,47%",1,,,,,,,,,
Braga,Vieira do Minho,Tabuaças,PPD/PSD,"43,55%",223,PS,"36,33%",186,CH,"8,40%",43,B.E.,"2,34%",12,IL,"1,76%",9,PCP-PEV,"1,76%",9,CDS-PP,"0,98%",5,PAN,"0,98%",5,R.I.R.,"0,98%",5,L,"0,59%",3,E,"0,20%",1,MAS,"0,20%",1,MPT,"0,20%",1,A,"0,00%",0,JPP,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,37%",7,NULOS,"0,39%",2,,,,,,,,,
Braga,Vieira do Minho,Ventosa e Cova,PPD/PSD,"45,91%",146,PS,"31,45%",100,CH,"10,06%",32,B.E.,"3,77%",12,PCP-PEV,"1,89%",6,CDS-PP,"1,26%",4,IL,"1,26%",4,L,"0,94%",3,PAN,"0,63%",2,R.I.R.,"0,63%",2,A,"0,31%",1,PTP,"0,31%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,94%",3,NULOS,"0,63%",2,,,,,,,,,
Braga,Vieira do Minho,Vieira do Minho,PS,"40,29%",529,PPD/PSD,"40,06%",526,CH,"6,40%",84,IL,"2,97%",39,B.E.,"2,74%",36,PCP-PEV,"2,06%",27,CDS-PP,"1,37%",18,PAN,"0,91%",12,L,"0,53%",7,MAS,"0,15%",2,A,"0,08%",1,E,"0,08%",1,R.I.R.,"0,08%",1,JPP,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,22%",16,NULOS,"1,07%",14,,,,,,,,,
Braga,Vila Nova de Famalicão,Antas e Abade de Vermoim,PPD/PSD,"40,70%","1,792",PS,"36,57%","1,61",IL,"5,91%",260,CH,"4,81%",212,B.E.,"3,95%",174,CDS-PP,"1,61%",71,PAN,"1,59%",70,PCP-PEV,"1,57%",69,L,"0,95%",42,R.I.R.,"0,34%",15,MAS,"0,14%",6,E,"0,09%",4,JPP,"0,07%",3,A,"0,05%",2,PTP,"0,05%",2,VP,"0,05%",2,MPT,"0,02%",1,EMBRANCO,"0,98%",43,NULOS,"0,57%",25,,,,,,,,,
Braga,Vila Nova de Famalicão,Arnoso (Santa Maria e Santa Eulália) e Sezures,PS,"45,83%",955,PPD/PSD,"31,96%",666,CH,"6,24%",130,IL,"3,21%",67,B.E.,"2,93%",61,PCP-PEV,"2,40%",50,CDS-PP,"1,54%",32,PAN,"1,06%",22,R.I.R.,"0,62%",13,L,"0,48%",10,MPT,"0,24%",5,JPP,"0,19%",4,E,"0,10%",2,MAS,"0,10%",2,PTP,"0,10%",2,VP,"0,10%",2,A,"0,00%",0,EMBRANCO,"1,54%",32,NULOS,"1,39%",29,,,,,,,,,
Braga,Vila Nova de Famalicão,Avidos e Lagoa,PS,"47,15%",753,PPD/PSD,"32,62%",521,CH,"5,45%",87,IL,"3,82%",61,B.E.,"3,19%",51,PAN,"1,63%",26,CDS-PP,"1,44%",23,PCP-PEV,"1,31%",21,L,"0,69%",11,JPP,"0,25%",4,R.I.R.,"0,25%",4,PTP,"0,19%",3,MAS,"0,13%",2,E,"0,06%",1,VP,"0,06%",1,A,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,88%",14,NULOS,"0,88%",14,,,,,,,,,
Braga,Vila Nova de Famalicão,Bairro,PS,"43,05%",817,PPD/PSD,"36,78%",698,CH,"5,53%",105,IL,"3,42%",65,B.E.,"3,32%",63,PCP-PEV,"2,58%",49,CDS-PP,"1,63%",31,PAN,"0,95%",18,L,"0,42%",8,R.I.R.,"0,42%",8,E,"0,16%",3,MPT,"0,11%",2,JPP,"0,05%",1,MAS,"0,05%",1,PTP,"0,05%",1,A,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,90%",17,NULOS,"0,58%",11,,,,,,,,,
Braga,Vila Nova de Famalicão,Brufe,PS,"43,30%",578,PPD/PSD,"35,28%",471,IL,"4,64%",62,CH,"4,12%",55,PCP-PEV,"3,60%",48,B.E.,"3,22%",43,CDS-PP,"2,55%",34,PAN,"0,90%",12,L,"0,60%",8,R.I.R.,"0,45%",6,MPT,"0,15%",2,PTP,"0,07%",1,VP,"0,07%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"0,30%",4,NULOS,"0,75%",10,,,,,,,,,
Braga,Vila Nova de Famalicão,Carreira e Bente,PS,"49,23%",703,PPD/PSD,"31,58%",451,CH,"4,34%",62,B.E.,"3,15%",45,IL,"2,87%",41,PCP-PEV,"2,10%",30,PAN,"1,47%",21,CDS-PP,"1,19%",17,L,"0,91%",13,JPP,"0,21%",3,MPT,"0,21%",3,R.I.R.,"0,21%",3,A,"0,07%",1,E,"0,07%",1,MAS,"0,07%",1,PTP,"0,07%",1,VP,"0,07%",1,EMBRANCO,"1,40%",20,NULOS,"0,77%",11,,,,,,,,,
Braga,Vila Nova de Famalicão,Castelões,PS,"52,20%",604,PPD/PSD,"27,48%",318,CH,"6,66%",77,B.E.,"3,28%",38,IL,"3,03%",35,PCP-PEV,"1,47%",17,PAN,"1,21%",14,CDS-PP,"0,69%",8,L,"0,61%",7,R.I.R.,"0,52%",6,E,"0,26%",3,PTP,"0,17%",2,JPP,"0,09%",1,MAS,"0,09%",1,MPT,"0,09%",1,A,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,21%",14,NULOS,"0,95%",11,,,,,,,,,
Braga,Vila Nova de Famalicão,Cruz,PS,"40,82%",447,PPD/PSD,"39,00%",427,IL,"4,93%",54,CH,"4,47%",49,B.E.,"2,47%",27,CDS-PP,"1,92%",21,PCP-PEV,"1,83%",20,PAN,"1,10%",12,L,"0,55%",6,MPT,"0,18%",2,PTP,"0,18%",2,JPP,"0,09%",1,MAS,"0,09%",1,A,"0,00%",0,E,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,28%",14,NULOS,"1,10%",12,,,,,,,,,
Braga,Vila Nova de Famalicão,Delães,PS,"56,17%","1,275",PPD/PSD,"23,61%",536,B.E.,"4,67%",106,CH,"4,45%",101,PCP-PEV,"3,13%",71,IL,"2,60%",59,PAN,"1,06%",24,CDS-PP,"0,88%",20,L,"0,66%",15,R.I.R.,"0,40%",9,JPP,"0,13%",3,A,"0,09%",2,E,"0,09%",2,MPT,"0,09%",2,VP,"0,09%",2,MAS,"0,04%",1,PTP,"0,00%",0,EMBRANCO,"1,06%",24,NULOS,"0,79%",18,,,,,,,,,
Braga,Vila Nova de Famalicão,Esmeriz e Cabeçudos,PPD/PSD,"38,99%",827,PS,"38,94%",826,CH,"5,89%",125,IL,"4,20%",89,B.E.,"3,11%",66,CDS-PP,"1,93%",41,PCP-PEV,"1,51%",32,PAN,"0,94%",20,L,"0,66%",14,R.I.R.,"0,47%",10,VP,"0,14%",3,JPP,"0,09%",2,PTP,"0,09%",2,A,"0,05%",1,MAS,"0,05%",1,MPT,"0,05%",1,E,"0,00%",0,EMBRANCO,"1,98%",42,NULOS,"0,90%",19,,,,,,,,,
Braga,Vila Nova de Famalicão,Fradelos,PS,"40,71%",881,PPD/PSD,"38,63%",836,CH,"6,89%",149,IL,"3,70%",80,B.E.,"2,68%",58,CDS-PP,"1,76%",38,PAN,"0,92%",20,PCP-PEV,"0,83%",18,R.I.R.,"0,65%",14,L,"0,37%",8,MPT,"0,14%",3,E,"0,09%",2,MAS,"0,09%",2,JPP,"0,05%",1,A,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,71%",37,NULOS,"0,79%",17,,,,,,,,,
Braga,Vila Nova de Famalicão,Gavião,PS,"42,43%",955,PPD/PSD,"35,54%",800,CH,"5,60%",126,IL,"5,06%",114,B.E.,"3,02%",68,CDS-PP,"1,73%",39,PCP-PEV,"1,60%",36,PAN,"1,02%",23,L,"0,84%",19,R.I.R.,"0,49%",11,PTP,"0,18%",4,E,"0,09%",2,A,"0,04%",1,JPP,"0,04%",1,MPT,"0,04%",1,VP,"0,04%",1,MAS,"0,00%",0,EMBRANCO,"1,29%",29,NULOS,"0,93%",21,,,,,,,,,
Braga,Vila Nova de Famalicão,"Gondifelos, Cavalões e Outiz",PPD/PSD,"42,34%","1,186",PS,"35,74%","1,001",CH,"7,14%",200,IL,"3,82%",107,B.E.,"2,86%",80,CDS-PP,"2,25%",63,PAN,"1,25%",35,PCP-PEV,"1,21%",34,L,"0,61%",17,R.I.R.,"0,25%",7,E,"0,14%",4,JPP,"0,11%",3,VP,"0,11%",3,A,"0,04%",1,MPT,"0,04%",1,PTP,"0,04%",1,MAS,"0,00%",0,EMBRANCO,"1,21%",34,NULOS,"0,86%",24,,,,,,,,,
Braga,Vila Nova de Famalicão,Joane,PS,"46,81%","2,232",PPD/PSD,"31,94%","1,523",CH,"4,72%",225,B.E.,"4,49%",214,IL,"3,52%",168,PCP-PEV,"2,10%",100,CDS-PP,"1,82%",87,PAN,"1,11%",53,L,"0,61%",29,R.I.R.,"0,36%",17,JPP,"0,15%",7,PTP,"0,10%",5,MAS,"0,06%",3,MPT,"0,06%",3,A,"0,04%",2,E,"0,04%",2,VP,"0,00%",0,EMBRANCO,"1,32%",63,NULOS,"0,73%",35,,,,,,,,,
Braga,Vila Nova de Famalicão,Landim,PS,"47,96%",774,PPD/PSD,"31,35%",506,CH,"5,02%",81,IL,"4,28%",69,B.E.,"3,41%",55,PCP-PEV,"1,61%",26,CDS-PP,"1,49%",24,PAN,"1,12%",18,L,"0,56%",9,R.I.R.,"0,37%",6,A,"0,12%",2,E,"0,12%",2,JPP,"0,06%",1,MAS,"0,06%",1,PTP,"0,06%",1,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,73%",28,NULOS,"0,68%",11,,,,,,,,,
Braga,Vila Nova de Famalicão,"Lemenhe, Mouquim e Jesufrei",PS,"42,41%",830,PPD/PSD,"37,92%",742,CH,"5,26%",103,IL,"3,99%",78,B.E.,"2,76%",54,CDS-PP,"1,89%",37,PAN,"1,12%",22,PCP-PEV,"0,97%",19,L,"0,51%",10,R.I.R.,"0,36%",7,MAS,"0,15%",3,E,"0,05%",1,PTP,"0,05%",1,VP,"0,05%",1,A,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,18%",23,NULOS,"1,33%",26,,,,,,,,,
Braga,Vila Nova de Famalicão,Louro,PS,"45,15%",647,PPD/PSD,"35,38%",507,IL,"4,54%",65,CH,"4,26%",61,B.E.,"2,44%",35,CDS-PP,"2,30%",33,PCP-PEV,"1,88%",27,PAN,"1,12%",16,L,"0,56%",8,R.I.R.,"0,28%",4,MAS,"0,21%",3,E,"0,07%",1,MPT,"0,07%",1,A,"0,00%",0,JPP,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,84%",12,NULOS,"0,91%",13,,,,,,,,,
Braga,Vila Nova de Famalicão,Lousado,PS,"48,61%","1,084",PPD/PSD,"29,55%",659,CH,"6,46%",144,IL,"3,95%",88,B.E.,"3,09%",69,PCP-PEV,"2,24%",50,PAN,"1,84%",41,CDS-PP,"1,17%",26,L,"0,49%",11,R.I.R.,"0,40%",9,E,"0,09%",2,JPP,"0,09%",2,MAS,"0,09%",2,VP,"0,09%",2,A,"0,04%",1,MPT,"0,04%",1,PTP,"0,00%",0,EMBRANCO,"1,26%",28,NULOS,"0,49%",11,,,,,,,,,
Braga,Vila Nova de Famalicão,Mogege,PS,"49,24%",583,PPD/PSD,"31,59%",374,CH,"4,05%",48,B.E.,"3,29%",39,IL,"2,45%",29,PCP-PEV,"1,86%",22,CDS-PP,"1,77%",21,PAN,"1,27%",15,L,"0,93%",11,R.I.R.,"0,68%",8,JPP,"0,25%",3,MAS,"0,17%",2,PTP,"0,17%",2,A,"0,08%",1,VP,"0,08%",1,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,27%",15,NULOS,"0,84%",10,,,,,,,,,
Braga,Vila Nova de Famalicão,Nine,PS,"45,95%",817,PPD/PSD,"37,29%",663,CH,"4,84%",86,IL,"3,82%",68,B.E.,"2,19%",39,CDS-PP,"1,52%",27,PCP-PEV,"1,24%",22,PAN,"0,67%",12,L,"0,39%",7,MAS,"0,17%",3,R.I.R.,"0,17%",3,E,"0,11%",2,MPT,"0,11%",2,VP,"0,11%",2,A,"0,06%",1,PTP,"0,06%",1,JPP,"0,00%",0,EMBRANCO,"0,73%",13,NULOS,"0,56%",10,,,,,,,,,
Braga,Vila Nova de Famalicão,Oliveira (Santa Maria),PS,"48,03%",1,PPD/PSD,"30,31%",631,B.E.,"4,90%",102,CH,"4,27%",89,IL,"3,51%",73,PCP-PEV,"3,12%",65,CDS-PP,"1,30%",27,PAN,"0,86%",18,L,"0,53%",11,R.I.R.,"0,24%",5,E,"0,14%",3,JPP,"0,14%",3,MAS,"0,10%",2,MPT,"0,10%",2,PTP,"0,10%",2,VP,"0,05%",1,A,"0,00%",0,EMBRANCO,"1,30%",27,NULOS,"1,01%",21,,,,,,,,,
Braga,Vila Nova de Famalicão,Oliveira (São Mateus),PS,"51,27%",724,PPD/PSD,"26,77%",378,PCP-PEV,"5,45%",77,B.E.,"4,67%",66,IL,"2,97%",42,CH,"2,90%",41,CDS-PP,"0,99%",14,PAN,"0,99%",14,L,"0,64%",9,R.I.R.,"0,28%",4,MAS,"0,21%",3,MPT,"0,14%",2,VP,"0,14%",2,A,"0,07%",1,E,"0,07%",1,JPP,"0,07%",1,PTP,"0,07%",1,EMBRANCO,"1,20%",17,NULOS,"1,06%",15,,,,,,,,,
Braga,Vila Nova de Famalicão,Pedome,PS,"50,54%",606,PPD/PSD,"28,36%",340,PCP-PEV,"4,09%",49,CH,"3,92%",47,B.E.,"3,84%",46,IL,"3,34%",40,PAN,"1,42%",17,CDS-PP,"1,17%",14,L,"0,50%",6,R.I.R.,"0,33%",4,JPP,"0,17%",2,A,"0,08%",1,E,"0,08%",1,MPT,"0,08%",1,PTP,"0,08%",1,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,25%",15,NULOS,"0,75%",9,,,,,,,,,
Braga,Vila Nova de Famalicão,Pousada de Saramagos,PS,"47,42%",635,PPD/PSD,"28,45%",381,B.E.,"5,30%",71,CH,"5,23%",70,IL,"4,63%",62,PCP-PEV,"2,84%",38,PAN,"1,57%",21,CDS-PP,"0,67%",9,L,"0,60%",8,R.I.R.,"0,30%",4,E,"0,15%",2,MAS,"0,15%",2,PTP,"0,15%",2,JPP,"0,07%",1,VP,"0,07%",1,A,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,49%",20,NULOS,"0,90%",12,,,,,,,,,
Braga,Vila Nova de Famalicão,Requião,PS,"40,81%",750,PPD/PSD,"36,83%",677,CH,"5,66%",104,IL,"4,57%",84,B.E.,"3,16%",58,PAN,"1,69%",31,CDS-PP,"1,52%",28,PCP-PEV,"1,47%",27,L,"0,98%",18,E,"0,27%",5,R.I.R.,"0,27%",5,VP,"0,27%",5,JPP,"0,16%",3,MAS,"0,05%",1,MPT,"0,05%",1,PTP,"0,05%",1,A,"0,00%",0,EMBRANCO,"1,74%",32,NULOS,"0,44%",8,,,,,,,,,
Braga,Vila Nova de Famalicão,Riba de Ave,PS,"48,16%","1,007",PPD/PSD,"29,84%",624,PCP-PEV,"5,07%",106,B.E.,"4,26%",89,IL,"3,68%",77,CH,"3,44%",72,PAN,"1,05%",22,CDS-PP,"0,96%",20,L,"0,77%",16,R.I.R.,"0,24%",5,E,"0,10%",2,MAS,"0,10%",2,JPP,"0,05%",1,PTP,"0,05%",1,A,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,15%",24,NULOS,"1,10%",23,,,,,,,,,
Braga,Vila Nova de Famalicão,Ribeirão,PS,"40,40%","2,069",PPD/PSD,"39,39%","2,017",CH,"6,25%",320,IL,"4,08%",209,B.E.,"2,36%",121,CDS-PP,"1,95%",100,PAN,"1,31%",67,PCP-PEV,"1,19%",61,L,"0,59%",30,R.I.R.,"0,53%",27,PTP,"0,10%",5,E,"0,08%",4,MAS,"0,08%",4,MPT,"0,08%",4,VP,"0,06%",3,A,"0,02%",1,JPP,"0,00%",0,EMBRANCO,"0,92%",47,NULOS,"0,62%",32,,,,,,,,,
Braga,Vila Nova de Famalicão,Ruivães e Novais,PS,"53,97%",986,PPD/PSD,"26,33%",481,CH,"4,60%",84,IL,"3,39%",62,B.E.,"3,23%",59,PCP-PEV,"2,35%",43,PAN,"1,31%",24,R.I.R.,"0,77%",14,CDS-PP,"0,71%",13,L,"0,66%",12,JPP,"0,22%",4,E,"0,11%",2,MAS,"0,11%",2,PTP,"0,11%",2,A,"0,05%",1,MPT,"0,05%",1,VP,"0,05%",1,EMBRANCO,"1,20%",22,NULOS,"0,77%",14,,,,,,,,,
Braga,Vila Nova de Famalicão,Seide,PS,"40,95%",405,PPD/PSD,"36,40%",360,CH,"5,46%",54,B.E.,"4,55%",45,IL,"4,25%",42,PCP-PEV,"1,72%",17,CDS-PP,"1,21%",12,PAN,"1,21%",12,L,"0,91%",9,E,"0,30%",3,MPT,"0,20%",2,VP,"0,20%",2,PTP,"0,10%",1,R.I.R.,"0,10%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,11%",11,NULOS,"1,31%",13,,,,,,,,,
Braga,Vila Nova de Famalicão,"Vale (São Cosme), Telhado e Portela",PS,"43,02%","1,365",PPD/PSD,"35,55%","1,128",CH,"5,29%",168,IL,"3,50%",111,B.E.,"3,12%",99,CDS-PP,"2,43%",77,PCP-PEV,"2,02%",64,PAN,"1,10%",35,L,"0,60%",19,R.I.R.,"0,25%",8,PTP,"0,13%",4,MPT,"0,09%",3,E,"0,06%",2,VP,"0,06%",2,A,"0,03%",1,JPP,"0,03%",1,MAS,"0,03%",1,EMBRANCO,"1,45%",46,NULOS,"1,23%",39,,,,,,,,,
Braga,Vila Nova de Famalicão,Vale (São Martinho),PS,"40,74%",495,PPD/PSD,"35,80%",435,CH,"7,00%",85,B.E.,"4,36%",53,IL,"4,12%",50,CDS-PP,"1,81%",22,PCP-PEV,"1,48%",18,PAN,"1,15%",14,L,"0,82%",10,R.I.R.,"0,33%",4,MAS,"0,08%",1,MPT,"0,08%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,07%",13,NULOS,"1,15%",14,,,,,,,,,
Braga,Vila Nova de Famalicão,Vermoim,PS,"47,76%",842,PPD/PSD,"33,18%",585,CH,"4,08%",72,B.E.,"4,03%",71,IL,"3,40%",60,PCP-PEV,"1,47%",26,CDS-PP,"1,42%",25,PAN,"1,42%",25,L,"0,40%",7,E,"0,23%",4,JPP,"0,11%",2,R.I.R.,"0,11%",2,MPT,"0,06%",1,A,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,64%",29,NULOS,"0,68%",12,,,,,,,,,
Braga,Vila Nova de Famalicão,Vila Nova de Famalicão e Calendário,PS,"38,64%","4,576",PPD/PSD,"36,56%","4,33",CH,"5,91%",700,IL,"5,79%",686,B.E.,"3,90%",462,PCP-PEV,"2,42%",287,CDS-PP,"1,74%",206,PAN,"1,56%",185,L,"0,93%",110,R.I.R.,"0,28%",33,MAS,"0,09%",11,VP,"0,07%",8,PTP,"0,04%",5,MPT,"0,03%",4,E,"0,03%",3,A,"0,02%",2,JPP,"0,02%",2,EMBRANCO,"1,08%",128,NULOS,"0,89%",106,,,,,,,,,
Braga,Vila Nova de Famalicão,Vilarinho das Cambas,PPD/PSD,"41,30%",342,PS,"38,77%",321,CH,"6,64%",55,IL,"3,14%",26,CDS-PP,"2,78%",23,B.E.,"2,05%",17,PAN,"0,97%",8,PCP-PEV,"0,97%",8,L,"0,85%",7,R.I.R.,"0,60%",5,E,"0,12%",1,PTP,"0,12%",1,VP,"0,12%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,48%",4,NULOS,"1,09%",9,,,,,,,,,
Braga,Vila Verde,Aboim da Nóbrega e Gondomar,PPD/PSD,"46,63%",228,PS,"36,61%",179,CH,"5,32%",26,CDS-PP,"2,66%",13,IL,"1,84%",9,B.E.,"1,64%",8,L,"0,82%",4,PAN,"0,61%",3,PTP,"0,41%",2,MPT,"0,20%",1,PCP-PEV,"0,20%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,84%",9,NULOS,"1,23%",6,,,,,,,,,
Braga,Vila Verde,Atiães,PPD/PSD,"49,05%",155,PS,"33,54%",106,CH,"5,06%",16,IL,"2,85%",9,CDS-PP,"2,53%",8,L,"0,95%",3,B.E.,"0,63%",2,PAN,"0,63%",2,PCP-PEV,"0,32%",1,R.I.R.,"0,32%",1,VP,"0,32%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"2,22%",7,NULOS,"1,58%",5,,,,,,,,,
Braga,Vila Verde,Cabanelas,PS,"45,93%",468,PPD/PSD,"33,76%",344,CH,"8,64%",88,B.E.,"2,26%",23,IL,"1,67%",17,PCP-PEV,"1,08%",11,CDS-PP,"0,79%",8,L,"0,79%",8,PAN,"0,79%",8,E,"0,29%",3,MPT,"0,29%",3,A,"0,10%",1,JPP,"0,10%",1,R.I.R.,"0,10%",1,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,67%",17,NULOS,"1,77%",18,,,,,,,,,
Braga,Vila Verde,Carreiras (São Miguel) e Carreiras (Santiago),PPD/PSD,"38,68%",188,PS,"37,04%",180,CH,"9,47%",46,CDS-PP,"4,32%",21,B.E.,"1,85%",9,IL,"1,44%",7,PCP-PEV,"1,44%",7,L,"1,03%",5,PAN,"1,03%",5,VP,"0,62%",3,JPP,"0,41%",2,MAS,"0,41%",2,A,"0,21%",1,E,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,03%",5,NULOS,"1,03%",5,,,,,,,,,
Braga,Vila Verde,Cervães,PPD/PSD,"46,63%",470,PS,"29,56%",298,CH,"8,63%",87,IL,"5,26%",53,CDS-PP,"2,58%",26,B.E.,"1,88%",19,PCP-PEV,"0,79%",8,PAN,"0,69%",7,L,"0,50%",5,R.I.R.,"0,40%",4,MPT,"0,20%",2,VP,"0,20%",2,A,"0,10%",1,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,39%",14,NULOS,"1,19%",12,,,,,,,,,
Braga,Vila Verde,Coucieiro,PPD/PSD,"46,60%",144,PS,"32,04%",99,CH,"6,47%",20,IL,"5,83%",18,B.E.,"3,56%",11,CDS-PP,"2,27%",7,PCP-PEV,"1,29%",4,L,"0,32%",1,MPT,"0,32%",1,PAN,"0,32%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,97%",3,NULOS,"0,00%",0,,,,,,,,,
Braga,Vila Verde,Dossãos,PPD/PSD,"52,50%",147,PS,"31,79%",89,CH,"4,29%",12,B.E.,"2,14%",6,CDS-PP,"1,79%",5,PAN,"1,43%",4,IL,"1,07%",3,E,"0,71%",2,PCP-PEV,"0,71%",2,MPT,"0,36%",1,PTP,"0,36%",1,A,"0,00%",0,JPP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,71%",2,NULOS,"2,14%",6,,,,,,,,,
Braga,Vila Verde,Escariz (São Mamede) e Escariz (São Martinho),PPD/PSD,"48,97%",215,PS,"31,66%",139,CH,"6,61%",29,B.E.,"2,96%",13,CDS-PP,"1,82%",8,IL,"1,82%",8,PAN,"1,14%",5,A,"0,68%",3,L,"0,46%",2,PCP-PEV,"0,46%",2,R.I.R.,"0,46%",2,E,"0,23%",1,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,37%",6,NULOS,"1,37%",6,,,,,,,,,
Braga,Vila Verde,"Esqueiros, Nevogilde e Travassós",PPD/PSD,"40,37%",237,PS,"39,86%",234,CH,"6,13%",36,IL,"2,90%",17,B.E.,"2,39%",14,CDS-PP,"2,21%",13,R.I.R.,"1,36%",8,PAN,"1,19%",7,PCP-PEV,"1,02%",6,L,"0,34%",2,E,"0,17%",1,PTP,"0,17%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,53%",9,NULOS,"0,34%",2,,,,,,,,,
