Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Trute,PPD/PSD,"40,85%",58,PS,"35,21%",50,CH,"5,63%",8,IL,"4,93%",7,B.E.,"3,52%",5,CDS-PP,"2,11%",3,PAN,"1,41%",2,L,"0,70%",1,MPT,"0,70%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,PCP-PEV,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"4,23%",6,NULOS,"0,70%",1,,,,,,,,,,,,,,,
União das freguesias de Amedo e Zedes,PPD/PSD,"40,85%",87,PS,"34,74%",74,CH,"8,92%",19,CDS-PP,"5,16%",11,PAN,"2,82%",6,B.E.,"1,88%",4,E,"0,94%",2,PCP-PEV,"0,94%",2,L,"0,47%",1,MAS,"0,47%",1,IL,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,47%",1,NULOS,"2,35%",5,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Reguengo e São Julião,PS,"40,85%",192,PPD/PSD,"38,30%",180,CH,"7,87%",37,IL,"3,19%",15,B.E.,"2,77%",13,PCP-PEV,"1,06%",5,L,"0,64%",3,CDS-PP,"0,43%",2,PCTP/MRPP,"0,43%",2,R.I.R.,"0,43%",2,MPT,"0,21%",1,PAN,"0,21%",1,E,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,34%",11,NULOS,"1,28%",6,,,,,,,,,,,,
São Pedro d'Arcos,PS,"40,86%",143,PPD/PSD,"33,14%",116,CDS-PP,"11,14%",39,CH,"5,14%",18,B.E.,"3,43%",12,IL,"2,00%",7,PAN,"1,14%",4,L,"0,57%",2,PCP-PEV,"0,29%",1,R.I.R.,"0,29%",1,VP,"0,29%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,86%",3,NULOS,"0,86%",3,,,,,,,,,,,,,,,
Paranhos – Seia,PPD/PSD,"40,87%",255,PS,"39,58%",247,CH,"7,69%",48,CDS-PP,"1,92%",12,B.E.,"1,60%",10,IL,"1,44%",9,PCP-PEV,"1,28%",8,PAN,"0,80%",5,R.I.R.,"0,48%",3,VP,"0,48%",3,E,"0,16%",1,L,"0,16%",1,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,44%",9,NULOS,"2,08%",13,,,,,,,,,,,,,,,
Castelo Branco,PS,"40,88%",186,PPD/PSD.CDS-PP.PPM,"38,90%",177,CH,"4,62%",21,B.E.,"3,08%",14,IL,"2,64%",12,PCP-PEV,"1,54%",7,ADN,"0,66%",3,L,"0,66%",3,PAN,"0,66%",3,R.I.R.,"0,66%",3,MPT,"0,44%",2,PCTP/MRPP,"0,44%",2,E,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"4,62%",21,NULOS,"0,22%",1,,,,,,,,,,,,,,,
União das freguesias do Cartaxo e Vale da Pinta,PS,"40,88%","2,5",PPD/PSD,"25,61%","1,566",CH,"10,70%",654,B.E.,"5,63%",344,IL,"4,82%",295,PCP-PEV,"4,82%",295,PAN,"1,83%",112,CDS-PP,"1,39%",85,L,"1,29%",79,R.I.R.,"0,44%",27,MPT,"0,23%",14,E,"0,21%",13,MAS,"0,21%",13,VP,"0,10%",6,PTP,"0,08%",5,EMBRANCO,"0,90%",55,NULOS,"0,85%",52,,,,,,,,,,,,,,,
São Roque do Pico,PPD/PSD.CDS-PP.PPM,"40,89%",220,PS,"37,17%",200,CH,"5,58%",30,B.E.,"3,72%",20,IL,"3,72%",20,PCP-PEV,"1,30%",7,L,"0,93%",5,ADN,"0,74%",4,PAN,"0,74%",4,MPT,"0,19%",1,PCTP/MRPP,"0,19%",1,R.I.R.,"0,19%",1,VP,"0,19%",1,E,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"3,35%",18,NULOS,"1,12%",6,,,,,,,,,,,,,,,
Figueiró da Granja,PPD/PSD,"40,91%",81,PS,"33,84%",67,CH,"11,11%",22,B.E.,"3,03%",6,CDS-PP,"2,53%",5,IL,"2,02%",4,PAN,"1,52%",3,R.I.R.,"1,01%",2,E,"0,51%",1,PCP-PEV,"0,51%",1,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,02%",4,NULOS,"1,01%",2,,,,,,,,,,,,,,,
Orgens,PS,"40,91%",801,PPD/PSD,"36,47%",714,CH,"7,15%",140,B.E.,"3,78%",74,IL,"3,12%",61,PCP-PEV,"2,45%",48,CDS-PP,"1,53%",30,L,"0,87%",17,PAN,"0,82%",16,R.I.R.,"0,31%",6,MPT,"0,20%",4,NC,"0,15%",3,MAS,"0,10%",2,VP,"0,10%",2,ADN,"0,05%",1,PTP,"0,05%",1,E,"0,00%",0,EMBRANCO,"1,38%",27,NULOS,"0,56%",11,,,,,,,,,
"União das freguesias de Esposende, Marinhas e Gandra",PPD/PSD,"40,91%","2,79",PS,"31,70%","2,162",CH,"6,76%",461,IL,"5,75%",392,B.E.,"4,27%",291,CDS-PP,"2,93%",200,PCP-PEV,"2,58%",176,PAN,"1,63%",111,L,"0,81%",55,R.I.R.,"0,29%",20,MAS,"0,15%",10,MPT,"0,10%",7,JPP,"0,09%",6,E,"0,06%",4,VP,"0,06%",4,PTP,"0,04%",3,A,"0,03%",2,EMBRANCO,"1,19%",81,NULOS,"0,66%",45,,,,,,,,,
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,PPD/PSD,"40,91%",331,PS,"36,59%",296,CH,"6,55%",53,IL,"3,58%",29,B.E.,"2,97%",24,CDS-PP,"2,72%",22,PCP-PEV,"1,48%",12,PAN,"1,24%",10,L,"0,62%",5,E,"0,49%",4,ADN,"0,12%",1,MPT,"0,12%",1,R.I.R.,"0,12%",1,VP,"0,12%",1,MAS,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,61%",13,NULOS,"0,74%",6,,,,,,,,,
Beijós,PS,"40,92%",205,PPD/PSD,"37,13%",186,CH,"11,38%",57,IL,"2,20%",11,B.E.,"1,20%",6,CDS-PP,"1,00%",5,PAN,"0,80%",4,NC,"0,60%",3,L,"0,40%",2,PCP-PEV,"0,40%",2,PTP,"0,40%",2,R.I.R.,"0,40%",2,ADN,"0,20%",1,MAS,"0,20%",1,MPT,"0,20%",1,VP,"0,20%",1,E,"0,00%",0,EMBRANCO,"1,60%",8,NULOS,"0,80%",4,,,,,,,,,
Ribeira Grande (Matriz),PS,"40,92%",381,PPD/PSD.CDS-PP.PPM,"31,79%",296,CH,"7,20%",67,B.E.,"6,44%",60,IL,"4,94%",46,PAN,"1,61%",15,PCP-PEV,"1,61%",15,ADN,"0,64%",6,MPT,"0,54%",5,PCTP/MRPP,"0,32%",3,L,"0,21%",2,VP,"0,21%",2,MAS,"0,11%",1,R.I.R.,"0,11%",1,E,"0,00%",0,EMBRANCO,"1,72%",16,NULOS,"1,61%",15,,,,,,,,,,,,,,,
Vila Franca do Campo (São Pedro),PS,"40,94%",174,PPD/PSD.CDS-PP.PPM,"36,71%",156,CH,"9,18%",39,B.E.,"3,06%",13,IL,"3,06%",13,PAN,"1,88%",8,L,"1,18%",5,ADN,"0,47%",2,PCTP/MRPP,"0,47%",2,R.I.R.,"0,47%",2,MPT,"0,24%",1,E,"0,00%",0,MAS,"0,00%",0,PCP-PEV,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,41%",6,NULOS,"0,94%",4,,,,,,,,,,,,,,,
União das freguesias de Seide,PS,"40,95%",405,PPD/PSD,"36,40%",360,CH,"5,46%",54,B.E.,"4,55%",45,IL,"4,25%",42,PCP-PEV,"1,72%",17,CDS-PP,"1,21%",12,PAN,"1,21%",12,L,"0,91%",9,E,"0,30%",3,MPT,"0,20%",2,VP,"0,20%",2,PTP,"0,10%",1,R.I.R.,"0,10%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,11%",11,NULOS,"1,31%",13,,,,,,,,,
Alcântara,PS,"40,97%","2,911",PPD/PSD,"22,83%","1,622",IL,"9,70%",689,PCP-PEV,"5,70%",405,CH,"5,57%",396,B.E.,"4,81%",342,L,"3,88%",276,CDS-PP,"2,04%",145,PAN,"1,65%",117,ADN,"0,37%",26,PCTP/MRPP,"0,35%",25,A,"0,20%",14,R.I.R.,"0,18%",13,VP,"0,13%",9,E,"0,11%",8,MAS,"0,11%",8,MPT,"0,10%",7,JPP,"0,03%",2,NC,"0,03%",2,,,,,,,,,
União das freguesias de Romeira e Várzea,PS,"40,97%",538,PPD/PSD,"29,17%",383,CH,"12,64%",166,IL,"4,95%",65,B.E.,"3,35%",44,PCP-PEV,"3,35%",44,CDS-PP,"1,45%",19,PAN,"0,91%",12,L,"0,76%",10,R.I.R.,"0,38%",5,E,"0,23%",3,MAS,"0,23%",3,PTP,"0,15%",2,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,30%",4,NULOS,"1,14%",15,,,,,,,,,,,,,,,
"União das freguesias de Paradela, Contim e Fiães",PS,"40,98%",84,PPD/PSD,"35,61%",73,CH,"9,76%",20,L,"5,37%",11,B.E.,"4,39%",9,MAS,"2,93%",6,CDS-PP,"0,98%",2,E,"0,00%",0,IL,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,00%",0,,,,,,,,,,,,,,,
União das freguesias de Penedono e Granja,PS,"40,98%",225,PPD/PSD,"37,16%",204,CH,"11,66%",64,IL,"2,19%",12,B.E.,"1,46%",8,L,"1,46%",8,CDS-PP,"1,28%",7,PCP-PEV,"0,73%",4,PAN,"0,55%",3,ADN,"0,36%",2,NC,"0,18%",1,R.I.R.,"0,18%",1,VP,"0,18%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,09%",6,NULOS,"0,55%",3,,,,,,,,,
Urgezes,PS,"40,98%","1,408",PPD/PSD,"34,66%","1,191",IL,"6,55%",225,CH,"5,12%",176,B.E.,"4,19%",144,PCP-PEV,"2,59%",89,CDS-PP,"1,54%",53,PAN,"1,37%",47,L,"0,67%",23,E,"0,17%",6,R.I.R.,"0,15%",5,MAS,"0,12%",4,PTP,"0,09%",3,JPP,"0,06%",2,MPT,"0,06%",2,VP,"0,06%",2,A,"0,03%",1,EMBRANCO,"1,08%",37,NULOS,"0,52%",18,,,,,,,,,
"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",PS,"40,99%","2,351",PCP-PEV,"20,75%","1,19",PPD/PSD,"19,58%","1,123",CH,"6,42%",368,B.E.,"2,84%",163,IL,"2,84%",163,CDS-PP,"2,21%",127,L,"0,91%",52,PAN,"0,71%",41,R.I.R.,"0,24%",14,MAS,"0,21%",12,VP,"0,10%",6,MPT,"0,09%",5,PTP,"0,07%",4,E,"0,05%",3,EMBRANCO,"1,34%",77,NULOS,"0,63%",36,,,,,,,,,,,,,,,
Moure – Barcelos,PPD/PSD,"41,00%",237,PS,"39,45%",228,CH,"5,54%",32,IL,"3,29%",19,B.E.,"2,94%",17,PCP-PEV,"2,25%",13,CDS-PP,"1,73%",10,L,"0,87%",5,PAN,"0,87%",5,R.I.R.,"0,35%",2,E,"0,17%",1,MPT,"0,17%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,69%",4,NULOS,"0,69%",4,,,,,,,,,
União das freguesias da Madalena e Samaiões,PS,"41,00%",547,PPD/PSD,"37,18%",496,CH,"9,75%",130,B.E.,"2,70%",36,IL,"1,95%",26,PCP-PEV,"1,95%",26,CDS-PP,"1,42%",19,PAN,"0,82%",11,L,"0,30%",4,MAS,"0,22%",3,R.I.R.,"0,22%",3,MPT,"0,07%",1,NC,"0,07%",1,VP,"0,07%",1,E,"0,00%",0,EMBRANCO,"1,20%",16,NULOS,"1,05%",14,,,,,,,,,,,,,,,
Sobreposta,PS,"41,02%",313,PPD/PSD,"36,17%",276,CH,"4,98%",38,B.E.,"3,67%",28,IL,"3,01%",23,PCP-PEV,"3,01%",23,CDS-PP,"2,49%",19,PAN,"1,31%",10,R.I.R.,"0,52%",4,L,"0,26%",2,JPP,"0,13%",1,MAS,"0,13%",1,A,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,83%",14,NULOS,"1,44%",11,,,,,,,,,
União das freguesias de Faro (Sé e São Pedro),PS,"41,02%","8,961",PPD/PSD,"25,32%","5,532",CH,"8,86%","1,936",B.E.,"6,49%","1,417",IL,"5,49%","1,2",PCP-PEV,"4,84%","1,058",PAN,"2,25%",491,L,"1,29%",282,CDS-PP,"0,88%",193,ADN,"0,59%",129,R.I.R.,"0,29%",63,MPT,"0,26%",57,MAS,"0,13%",29,E,"0,10%",22,PTP,"0,10%",21,VP,"0,08%",18,EMBRANCO,"1,25%",273,NULOS,"0,75%",164,,,,,,,,,,,,
Vila Nova de Milfontes,PS,"41,02%",920,PPD/PSD,"20,33%",456,CH,"10,30%",231,PCP-PEV,"8,87%",199,B.E.,"6,29%",141,IL,"4,55%",102,PAN,"1,69%",38,L,"1,16%",26,CDS-PP,"0,98%",22,R.I.R.,"0,89%",20,PCTP/MRPP,"0,67%",15,VP,"0,27%",6,E,"0,22%",5,MPT,"0,22%",5,MAS,"0,18%",4,PTP,"0,13%",3,EMBRANCO,"1,43%",32,NULOS,"0,80%",18,,,,,,,,,,,,
Lusinde,PS,"41,03%",48,PPD/PSD,"36,75%",43,CH,"5,98%",7,B.E.,"4,27%",5,CDS-PP,"4,27%",5,IL,"1,71%",2,E,"0,85%",1,L,"0,85%",1,MPT,"0,85%",1,NC,"0,85%",1,PCP-PEV,"0,85%",1,ADN,"0,00%",0,MAS,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,85%",1,NULOS,"0,85%",1,,,,,,,,,
Oliveira do Bairro,PPD/PSD,"41,03%","1,214",PS,"29,00%",858,CH,"8,38%",248,CDS-PP,"5,44%",161,IL,"5,10%",151,B.E.,"4,36%",129,PCP-PEV,"1,08%",32,PAN,"0,71%",21,L,"0,64%",19,PCTP/MRPP,"0,44%",13,R.I.R.,"0,44%",13,VP,"0,20%",6,MPT,"0,17%",5,ADN,"0,10%",3,MAS,"0,10%",3,E,"0,07%",2,JPP,"0,03%",1,EMBRANCO,"1,52%",45,NULOS,"1,18%",35,,,,,,,,,
Santa Bárbara de Nexe,PS,"41,03%",659,PPD/PSD,"22,91%",368,CH,"11,64%",187,PCP-PEV,"9,03%",145,B.E.,"5,98%",96,IL,"2,68%",43,PAN,"1,62%",26,L,"1,25%",20,CDS-PP,"0,75%",12,ADN,"0,37%",6,R.I.R.,"0,31%",5,MPT,"0,19%",3,E,"0,06%",1,MAS,"0,06%",1,PTP,"0,06%",1,VP,"0,06%",1,EMBRANCO,"1,18%",19,NULOS,"0,81%",13,,,,,,,,,,,,
"União das freguesias de Lobão, Gião, Louredo e Guisande",PS,"41,03%","2,123",PPD/PSD,"36,43%","1,885",CH,"6,07%",314,IL,"4,37%",226,B.E.,"3,59%",186,CDS-PP,"1,76%",91,PAN,"1,22%",63,PCP-PEV,"1,04%",54,R.I.R.,"0,68%",35,L,"0,66%",34,PCTP/MRPP,"0,41%",21,ADN,"0,23%",12,VP,"0,21%",11,E,"0,14%",7,MAS,"0,10%",5,MPT,"0,08%",4,JPP,"0,02%",1,EMBRANCO,"0,93%",48,NULOS,"1,04%",54,,,,,,,,,
Arões (São Romão),PS,"41,04%",790,PPD/PSD,"36,73%",707,CH,"7,06%",136,B.E.,"3,64%",70,IL,"2,96%",57,PCP-PEV,"2,60%",50,PAN,"1,09%",21,CDS-PP,"0,83%",16,L,"0,68%",13,R.I.R.,"0,47%",9,MPT,"0,21%",4,E,"0,16%",3,PTP,"0,16%",3,JPP,"0,10%",2,MAS,"0,05%",1,A,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,40%",27,NULOS,"0,83%",16,,,,,,,,,
Oura,PPD/PSD,"41,04%",103,PS,"39,04%",98,CH,"11,16%",28,CDS-PP,"1,99%",5,L,"1,59%",4,PCP-PEV,"0,80%",2,B.E.,"0,40%",1,IL,"0,40%",1,MPT,"0,40%",1,PAN,"0,40%",1,R.I.R.,"0,40%",1,E,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,20%",3,NULOS,"1,20%",3,,,,,,,,,,,,,,,
Santa Cruz do Lima,PPD/PSD,"41,04%",110,PS,"38,06%",102,CDS-PP,"9,33%",25,IL,"3,36%",9,B.E.,"2,24%",6,CH,"1,87%",5,PCP-PEV,"1,87%",5,PAN,"0,75%",2,L,"0,37%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,37%",1,NULOS,"0,75%",2,,,,,,,,,,,,,,,
Madalena,PPD/PSD.CDS-PP.PPM,"41,09%",401,PS,"40,47%",395,CH,"4,00%",39,IL,"3,38%",33,B.E.,"1,95%",19,PAN,"1,23%",12,PCP-PEV,"1,23%",12,L,"0,72%",7,ADN,"0,51%",5,PCTP/MRPP,"0,51%",5,VP,"0,20%",2,MAS,"0,10%",1,R.I.R.,"0,10%",1,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"3,59%",35,NULOS,"0,92%",9,,,,,,,,,,,,,,,
Pinhanços,PPD/PSD,"41,09%",136,PS,"34,14%",113,CH,"7,55%",25,B.E.,"3,02%",10,IL,"2,42%",8,CDS-PP,"2,11%",7,L,"1,51%",5,PCP-PEV,"1,51%",5,MAS,"0,30%",1,R.I.R.,"0,30%",1,VP,"0,30%",1,E,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"2,42%",8,NULOS,"3,32%",11,,,,,,,,,,,,,,,
Paçô,PPD/PSD,"41,10%",210,PS,"40,70%",208,CH,"3,91%",20,B.E.,"3,52%",18,IL,"2,74%",14,CDS-PP,"1,76%",9,L,"0,78%",4,PAN,"0,59%",3,PCP-PEV,"0,59%",3,MPT,"0,39%",2,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,74%",14,NULOS,"1,17%",6,,,,,,,,,,,,,,,
União das freguesias de Candoso São Tiago e Mascotelos,PS,"41,10%",961,PPD/PSD,"31,65%",740,IL,"7,27%",170,B.E.,"5,00%",117,CH,"4,83%",113,PCP-PEV,"3,76%",88,CDS-PP,"1,41%",33,PAN,"0,98%",23,L,"0,94%",22,R.I.R.,"0,51%",12,MAS,"0,17%",4,PTP,"0,17%",4,MPT,"0,09%",2,A,"0,04%",1,E,"0,04%",1,JPP,"0,04%",1,VP,"0,04%",1,EMBRANCO,"1,37%",32,NULOS,"0,56%",13,,,,,,,,,
Vade (São Tomé),PS,"41,10%",67,PPD/PSD,"37,42%",61,CH,"7,36%",12,CDS-PP,"3,07%",5,L,"3,07%",5,B.E.,"1,84%",3,IL,"1,84%",3,E,"0,61%",1,MAS,"0,61%",1,PAN,"0,61%",1,A,"0,00%",0,MPT,"0,00%",0,PCP-PEV,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,23%",2,NULOS,"1,23%",2,,,,,,,,,,,,,,,
Lanhas,PS,"41,11%",155,PPD/PSD,"38,20%",144,CH,"5,84%",22,B.E.,"3,71%",14,IL,"3,45%",13,CDS-PP,"2,92%",11,PAN,"0,80%",3,PCP-PEV,"0,80%",3,MPT,"0,53%",2,L,"0,27%",1,MAS,"0,27%",1,PTP,"0,27%",1,R.I.R.,"0,27%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,06%",4,NULOS,"0,53%",2,,,,,,,,,
Nossa Senhora da Graça do Divor,PS,"41,11%",111,PCP-PEV,"28,89%",78,PPD/PSD,"11,11%",30,CH,"8,89%",24,IL,"4,07%",11,B.E.,"2,96%",8,PAN,"0,74%",2,CDS-PP,"0,37%",1,PTP,"0,37%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,11%",3,NULOS,"0,37%",1,,,,,,,,,,,,,,,
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",PS,"41,11%","1,567",PPD/PSD,"38,43%","1,465",CH,"4,12%",157,B.E.,"3,59%",137,IL,"3,15%",120,PCP-PEV,"1,86%",71,CDS-PP,"1,55%",59,PAN,"1,52%",58,R.I.R.,"1,39%",53,L,"0,84%",32,E,"0,13%",5,VP,"0,10%",4,A,"0,08%",3,NC,"0,08%",3,ADN,"0,03%",1,JPP,"0,03%",1,MPT,"0,03%",1,PTP,"0,03%",1,MAS,"0,00%",0,,,,,,,,,
Giões,PPD/PSD,"41,12%",44,PS,"37,38%",40,PCP-PEV,"7,48%",8,CH,"5,61%",6,ADN,"1,87%",2,B.E.,"1,87%",2,IL,"0,93%",1,R.I.R.,"0,93%",1,CDS-PP,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,93%",1,NULOS,"1,87%",2,,,,,,,,,,,,
Lavradas,PPD/PSD,"41,12%",199,PS,"40,91%",198,IL,"3,93%",19,CDS-PP,"3,31%",16,CH,"2,48%",12,B.E.,"2,27%",11,PAN,"1,03%",5,L,"0,83%",4,PCP-PEV,"0,83%",4,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,07%",10,NULOS,"1,24%",6,,,,,,,,,,,,,,,
União das freguesias de São Mamede de Infesta e Senhora da Hora,PS,"41,12%","11,774",PPD/PSD,"30,45%","8,719",B.E.,"6,34%","1,815",IL,"6,23%","1,783",PCP-PEV,"4,49%","1,286",CH,"3,78%","1,082",PAN,"2,07%",594,L,"1,60%",459,CDS-PP,"1,07%",305,R.I.R.,"0,46%",132,ADN,"0,20%",58,VP,"0,09%",27,E,"0,07%",21,MAS,"0,07%",20,NC,"0,06%",18,MPT,"0,06%",16,A,"0,04%",11,PTP,"0,03%",8,JPP,"0,02%",6,,,,,,,,,
São João da Corveira,PS,"41,13%",116,PPD/PSD,"38,30%",108,CH,"8,51%",24,CDS-PP,"2,13%",6,IL,"1,77%",5,L,"0,71%",2,NC,"0,71%",2,PAN,"0,71%",2,PCP-PEV,"0,71%",2,B.E.,"0,35%",1,E,"0,35%",1,R.I.R.,"0,35%",1,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"4,26%",12,,,,,,,,,,,,,,,
Vila do Bispo e Raposeira,PS,"41,13%",255,PPD/PSD,"24,84%",154,B.E.,"9,68%",60,CH,"9,35%",58,PCP-PEV,"5,32%",33,IL,"2,74%",17,L,"1,94%",12,ADN,"1,13%",7,PAN,"0,97%",6,CDS-PP,"0,81%",5,E,"0,32%",2,MPT,"0,32%",2,R.I.R.,"0,32%",2,MAS,"0,16%",1,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,97%",6,NULOS,"0,00%",0,,,,,,,,,,,,
Antas,PPD/PSD,"41,14%",497,PS,"33,36%",403,CH,"6,21%",75,IL,"5,13%",62,B.E.,"3,48%",42,CDS-PP,"2,24%",27,PCP-PEV,"1,66%",20,PAN,"1,32%",16,L,"0,83%",10,E,"0,33%",4,MPT,"0,25%",3,R.I.R.,"0,25%",3,A,"0,08%",1,PTP,"0,08%",1,JPP,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,15%",26,NULOS,"1,49%",18,,,,,,,,,
Espinho – Mangualde,PS,"41,14%",181,PPD/PSD,"35,91%",158,CH,"10,91%",48,CDS-PP,"2,73%",12,B.E.,"2,27%",10,IL,"1,14%",5,PCP-PEV,"0,91%",4,R.I.R.,"0,68%",3,VP,"0,45%",2,L,"0,23%",1,MAS,"0,23%",1,ADN,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,91%",4,NULOS,"2,50%",11,,,,,,,,,
União das freguesias de Arcos de Valdevez (São Paio) e Giela,PPD/PSD,"41,14%",360,PS,"40,69%",356,CH,"3,66%",32,CDS-PP,"3,43%",30,IL,"3,43%",30,PCP-PEV,"2,17%",19,B.E.,"1,26%",11,PAN,"0,80%",7,L,"0,69%",6,R.I.R.,"0,34%",3,MAS,"0,23%",2,A,"0,11%",1,E,"0,11%",1,MPT,"0,11%",1,VP,"0,11%",1,EMBRANCO,"0,91%",8,NULOS,"0,80%",7,,,,,,,,,,,,,,,
"União das freguesias de Subportela, Deocriste e Portela Susã",PS,"41,15%",572,PPD/PSD,"37,84%",526,CH,"6,91%",96,IL,"3,17%",44,B.E.,"3,02%",42,CDS-PP,"1,73%",24,PCP-PEV,"0,86%",12,PAN,"0,72%",10,R.I.R.,"0,50%",7,A,"0,43%",6,L,"0,36%",5,MAS,"0,36%",5,E,"0,22%",3,VP,"0,14%",2,MPT,"0,07%",1,EMBRANCO,"1,22%",17,NULOS,"1,29%",18,,,,,,,,,,,,,,,
Nelas,PS,"41,16%",889,PPD/PSD,"30,37%",656,CH,"10,37%",224,B.E.,"4,40%",95,CDS-PP,"4,21%",91,IL,"2,87%",62,PCP-PEV,"1,48%",32,PAN,"1,39%",30,L,"0,83%",18,VP,"0,23%",5,R.I.R.,"0,19%",4,ADN,"0,14%",3,NC,"0,14%",3,MAS,"0,09%",2,MPT,"0,05%",1,PTP,"0,05%",1,E,"0,00%",0,EMBRANCO,"1,20%",26,NULOS,"0,83%",18,,,,,,,,,
Aveloso,PPD/PSD,"41,18%",35,PS,"40,00%",34,B.E.,"4,71%",4,CDS-PP,"4,71%",4,CH,"3,53%",3,IL,"2,35%",2,E,"1,18%",1,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,18%",1,NULOS,"1,18%",1,,,,,,,,,,,,,,,
Bismula,PS,"41,18%",28,PPD/PSD,"26,47%",18,CH,"11,76%",8,B.E.,"2,94%",2,CDS-PP,"2,94%",2,PAN,"2,94%",2,IL,"1,47%",1,L,"1,47%",1,R.I.R.,"1,47%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"4,41%",3,NULOS,"2,94%",2,,,,,,,,,,,,,,,
